アンケート回答日,居住都道府県,性別,年代,職種,世帯年収,同行者,宿泊数（全行程）,宿泊エリア（県外）,宿泊数（県内）,宿泊市町村(1泊目),食事の組み合わせ（1泊目）,宿泊市町村(2泊目),食事の組み合わせ（2泊目）,宿泊市町村(3泊目),食事の組み合わせ（3泊目）,宿泊市町村(4泊目),食事の組み合わせ（4泊目）,交通手段（来県）,交通手段（県内）,満足度（交通）,来県回数,訪問目的,情報源（デジタル）,情報源（デジタル以外）,比較した都道府県の有無,比較した都道府県,比較した都道府県の観光地,消費金額（交通費）,消費金額（飲食費）,消費金額（宿泊費）,消費金額（買い物（工芸品・特産品等）費）,消費金額（観光・体験費）,訪問場所,訪問した寿司店形態,訪問したます寿し店形態,海の幸（食べた）,海の幸（感動した）,満足度（食べ物・料理）,満足度（宿泊施設）,満足度（買い物（工芸品・特産品など））,満足度（観光・体験）,満足度（旅行全体）,満足度理由,不便に感じたこと・困ったこと,最も幸せを感じた食べ物,最も幸せを感じた観光・体験,おすすめ度,再訪意向,自由意見,回答場所
2025/04/18,福島県,男性,10歳未満,経営者・役員,1: 300万円未満,子供連れ家族（一番下のお子様が未就学児）,日帰り,,,,,,,,,,,自家用車,自家用車,大いに満足,１回目,宿でのんびり過ごす,Instagram,口コミ（友人・恋人）,ある,"福島県, 佐賀県",気球記念館、三春滝桜,"1,000円以上3,000円未満","20,000円以上30,000円未満","30,000円以上40,000円未満","1,000円以上3,000円未満","1,000円以上3,000円未満","雨晴海岸岩瀬エリア, 宇奈月温泉",回転寿司店（地元）,駅（売店・自販機など）,紅ズワイガニ,シロエビ,普通,普通,満足,普通,満足,,,,,5,どちらともいえない,,立山町
2025/04/18,茨城県,男性,10歳未満,経営者・役員,5: 2000万円以上,子供連れ家族（一番下のお子様が未就学児）,4泊以上,富山県以外には宿泊しない,4泊以上,富山市,夕・朝２食付き,高岡市,夕・朝２食付き,小矢部市,夕・朝２食付き,舟橋村,夕・朝２食付き,自家用車,レンタカー,大いに満足,２回目,温泉や露天風呂,TikTok,口コミ（同僚・同級生）,ある,青森県,とれとれ市場,"5,000円以上10,000円未満","3,000円以上5,000円未満","3,000円以上5,000円未満","3,000円以上5,000円未満","3,000円以上5,000円未満",雨晴海岸岩瀬エリア,居酒屋・レストラン（地元）,駅（売店・自販機など）,ブリ,フクラギ,満足,満足,満足,大いに満足,大いに満足,,,,,5,来年もまた行きたい,,氷見市,
2025/04/18,福島県,男性,10歳未満,経営者・役員,1: 300万円未満,子供連れ家族（一番下のお子様が小学生～高校生）,2泊,福井県,2泊,魚津市,夕・朝２食付き,南砺市,朝食のみ,小矢部市,朝食のみ,小矢部市,夕食のみ,レンタカー,タクシー,,６回目,移住先や二拠点居住を視察する,富山県内市町村の観光公式サイト,富山県観光公式のパンフレット,ない,,,"40,000円以上50,000円未満","20,000円以上30,000円未満","5,000円以上10,000円未満","10,000円以上20,000円未満","50,000円以上100,000円未満",海王丸パーク,居酒屋・レストラン（地元）,駅（売店・自販機など）,シロエビ,食べていない,満足,大いに満足,不満,普通,満足,,,,,3,富山県在住,,上市町,
2025/04/25,富山県,男性,20代,会社員,3: 600〜1000万円,夫婦,1泊,石川県,1泊,射水市,朝食のみ,,,,,,,"新幹線, 在来線",レンタカー,満足,６回目,"宿でのんびり過ごす, 地元の美味しいものを食べる","Instagram, TikTok","口コミ（友人・恋人）, 口コミ（同僚・同級生）, テレビ番組, 雑誌の特集記事",ある,"石川県, 福井県",金沢　福井,"20,000円以上30,000円未満","10,000円以上20,000円未満","10,000円以上20,000円未満","5,000円以上10,000円未満","30,000円以上40,000円未満","海王丸パーク, 富山市ガラス美術館, 富山城, 大谷ウォーク",居酒屋・レストラン（地元）,専門店,"ブリ, シロエビ, 甘エビ, ホタルイカ","ブリ, シロエビ, 甘エビ, ホタルイカ",大いに満足,大いに満足,満足,大いに満足,大いに満足,,,,,9,機会があれば行きたい,,射水市,
2025/04/25,富山県,男性,50代,会社員,2: 300〜599万円,友人・知人,1泊,富山県以外には宿泊しない,1泊,滑川市,朝食のみ,,,,,,,自家用車,自家用車,,５回目,地元の美味しいものを食べる,"富山県観光公式サイト「とやま観光ナビ」, 富山県内市町村の観光公式サイト",口コミ（同僚・同級生）,ない,,,"10,000円以上20,000円未満","10,000円以上20,000円未満","10,000円以上20,000円未満","10,000円以上20,000円未満","10,000円以上20,000円未満",立山黒部アルペンルート,回転寿司店（地元）,回転寿司店（地元）,"ブリ, フクラギ（イナダ、ハマチ）, シロエビ, 甘エビ, ホタルイカ, ゲンゲ",ホタルイカ,大いに満足,大いに満足,大いに満足,大いに満足,大いに満足,食べ物が美味しい,公共交通機関,ホタルイカ,室堂,10,富山県在住,,宿泊先
2025/04/25,愛知県,男性,50代,会社員,3: 600〜1000万円,友人・知人,1泊,富山県以外には宿泊しない,1泊,滑川市,朝食のみ,,,,,,,自家用車,自家用車,,２回目,花見や紅葉などの自然鑑賞,"富山県観光公式サイト「とやま観光ナビ」, 富山県内市町村の観光公式サイト",口コミ（同僚・同級生）,ない,,,"40,000円以上50,000円未満","10,000円以上20,000円未満","10,000円以上20,000円未満","10,000円以上20,000円未満","10,000円以上20,000円未満","宇奈月温泉, 黒部峡谷鉄道, 黒部ダム, 立山黒部アルペンルート, ほたるいかミュージアム",食べていない,回転寿司店（地元）,"ブリ, 紅ズワイガニ, シロエビ, 甘エビ","ブリ, シロエビ, ホタルイカ",大いに満足,満足,満足,満足,大いに満足,立山は素晴らしい！お酒も美味しい,富山のお酒や食べ物をまとめて食べられるところが星あかり,ホタルイカのじゃぶじゃぶ,雪の大谷,9,来年もまた行きたい,,宿泊先
2025/04/25,東京都,女性,50代,会社員,5: 2000万円以上,夫婦,1泊,富山県以外には宿泊しない,1泊,砺波市,夕・朝２食付き,,,,,,,飛行機,レンタカー,普通,２回目,"宿でのんびり過ごす, 温泉や露天風呂, 地元の美味しいものを食べる","富山県観光公式サイト「とやま観光ナビ」, 宿泊予約Webサイト",再訪,ない,,,"5,000円以上10,000円未満","5,000円以上10,000円未満","30,000円以上40,000円未満","10,000円以上20,000円未満",使わない,観光なし,回転寿司店（地元）,食べていない,"シロエビ, 甘エビ, ホタルイカ, ゲンゲ","シロエビ, ホタルイカ",満足,大いに満足,満足,普通,満足,期待どおり,なし,宿のごはん,なし,10,来年もまた行きたい,他の観光地のような外国人で溢れるような事は望まない。静かに過ごせるのが気に入っている。,宿泊先
2025/04/25,京都府,男性,70代,自営業,2: 300〜599万円,夫婦,2泊,富山県以外には宿泊しない,2泊,射水市,朝食のみ,魚津市,朝食のみ,,,,,自家用車,自家用車,,１回目,"地元の美味しいものを食べる, 名所、旧跡、寺社仏閣の観光",宿泊予約Webサイト,旅行ガイドブック,ある,新潟県,佐渡島,"10,000円以上20,000円未満","10,000円以上20,000円未満","5,000円以上10,000円未満","5,000円以上10,000円未満","3,000円以上5,000円未満","雨晴海岸, 国宝 高岡山瑞龍寺, 砺波チューリップ公園, 富山市ガラス美術館,",専門店,食べていない,"ブリ, 甘エビ, ホタルイカ, バイガイ","甘エビ, ホタルイカ",満足,大いに満足,普通,満足,満足,食事,,寿司,チューリップ公園,5,機会があれば行きたい,,宿泊先
2025/04/26,富山県,男性,50代,会社員,4: 1000〜2000万円,子供連れ家族（一番下のお子様が小学生～高校生）,1泊,長野県,1泊,滑川市,朝食のみ,,,,,,,自家用車,自家用車,,２回目,"温泉や露天風呂, 地元の美味しいものを食べる","富山県観光公式サイト「とやま観光ナビ」, 富山県内市町村の観光公式サイト","口コミ（同僚・同級生）, 富山県観光公式のパンフレット, テレビ番組",ない,,,"20,000円以上30,000円未満","10,000円以上20,000円未満","10,000円以上20,000円未満","5,000円以上10,000円未満","5,000円以上10,000円未満","立山黒部アルペンルート, ほたるいかミュージアム",専門店,持ち帰り（道の駅・スーパーなど）,"ブリ, シロエビ, ホタルイカ, ゲンゲ",バイガイ,大いに満足,大いに満足,満足,満足,大いに満足,食べ物が美味しい,ありません,海の幸,大谷ウォーク雪の壁,10,富山県在住,夜遅くに。駐車場があるブラックラーメンが食べれるラーメン店がほしい,宿泊先
2025/04/26,大阪府,女性,60代,パート・アルバイト,6: 無回答,大人の家族（18歳以上の子供含む）,2泊,富山県以外には宿泊しない,2泊,氷見市,夕・朝２食付き,富山市,食事なし（素泊まり）,,,,,"新幹線, 在来線",レンタカー,普通,２回目,"地元の美味しいものを食べる, お祭りやイベントへの参加・見物","富山県観光公式サイト「とやま観光ナビ」, 富山県内市町村の観光公式サイト, 宿泊施設のウェブサイト","旅行ガイドブック,",ない,,,"50,000円以上100,000円未満","20,000円以上30,000円未満","30,000円以上40,000円未満","3,000円以上5,000円未満","1,000円以上3,000円未満","雨晴海岸, 立山黒部アルペンルート, 砺波チューリップ公園, 富山市ガラス美術館, ほたるいかミュージアム",回転寿司店（地元）,食べていない,"シロエビ, 甘エビ, ホタルイカ, ウマヅラハギ","シロエビ, ウマヅラハギ",満足,満足,普通,満足,満足,チューリップがすごく綺麗だったこと、雨晴海岸の景色が良かった事,,お寿司,雨晴海岸,10,機会があれば行きたい,,宿泊先
2025/04/26,大阪府,男性,60代,会社員,2: 300〜599万円,大人の家族（18歳以上の子供含む）,2泊,富山県以外には宿泊しない,2泊,氷見市,夕・朝２食付き,富山市,食事なし（素泊まり）,,,,,"新幹線, 在来線",レンタカー,満足,２回目,"地元の美味しいものを食べる, 花見や紅葉などの自然鑑賞","富山県観光公式サイト「とやま観光ナビ」, 富山県内市町村の観光公式サイト, 宿泊予約Webサイト",旅行会社のパンフレット,ない,,,"50,000円以上100,000円未満","20,000円以上30,000円未満","30,000円以上40,000円未満","5,000円以上10,000円未満",使わない,"雨晴海岸, 立山黒部アルペンルート, 砺波チューリップ公園, 富山市ガラス美術館, ほたるいかミュージアム",回転寿司店（地元）,持ち帰り（道の駅・スーパーなど）,"シロエビ, ホタルイカ, ウマヅラハギ,","シロエビ, ホタルイカ, ウマヅラハギ",大いに満足,大いに満足,大いに満足,大いに満足,大いに満足,自然の景色が美しい,特にありません,白エビ,室堂,10,機会があれば行きたい,思っていた内容で満足してます,宿泊先
2025/04/26,神奈川県,男性,60代,定年退職,2: 300〜599万円,夫婦,2泊,富山県以外には宿泊しない,2泊,富山市,夕・朝２食付き,滑川市,夕食のみ,,,,,飛行機,レンタカー,,１回目,"温泉や露天風呂, 地元の美味しいものを食べる, 花見や紅葉などの自然鑑賞","富山県観光公式サイト「とやま観光ナビ」, 富山県内市町村の観光公式サイト, 宿泊予約Webサイト","テレビ番組, 旅行ガイドブック",ない,,,"40,000円以上50,000円未満","10,000円以上20,000円未満","20,000円以上30,000円未満","5,000円以上10,000円未満","10,000円以上20,000円未満","雨晴海岸, 砺波チューリップ公園, ほたるいかミュージアム",回転寿司店（地元）,専門店,"ブリ, 甘エビ, ホタルイカ, ウマヅラハギ",ホタルイカ,満足,満足,普通,満足,満足,食べ物が美味しかった,特にない,ホタルイカ,砺波チューリップ公園,8,機会があれば行きたい,,宿泊先
2025/04/26,長野県,女性,60代,医療機関職員,2: 300〜599万円,夫婦,1泊,富山県以外には宿泊しない,1泊,魚津市,夕・朝２食付き,,,,,,,自家用車,自家用車,,１０回目以上,地元の美味しいものを食べる,富山県観光公式サイト「とやま観光ナビ」,富山県観光公式のパンフレット,ない,,,"50,000円以上100,000円未満","20,000円以上30,000円未満","20,000円以上30,000円未満","10,000円以上20,000円未満","10,000円以上20,000円未満",岩瀬エリア,専門店,食べていない,"シロエビ, 甘エビ, ホタルイカ",ホタルイカ,大いに満足,大いに満足,普通,普通,満足,料理が美味しい,,,宿のサービス,10,機会があれば行きたい,,
2025/04/26,富山県,男性,40代,会社員,2: 300〜599万円,子供連れ家族（一番下のお子様が未就学児）,1泊,富山県以外には宿泊しない,1泊,富山市,夕・朝２食付き,,,,,,,自家用車,自家用車,大いに満足,１０回目以上,宿でのんびり過ごす,"Instagram, YOUTUBE, 富山県観光公式サイト「とやま観光ナビ」","口コミ（友人・恋人）, 口コミ（家族）",ある,石川県,山中,"100,000円以上","100,000円以上","100,000円以上","10,000円以上20,000円未満","10,000円以上20,000円未満",砺波チューリップ公園,食べていない,食べていない,"シロエビ, 甘エビ, バイガイ",バイガイ,大いに満足,大いに満足,普通,普通,大いに満足,良いところです,困りません,バイ貝,ホテル,10,富山県在住,まだまだ混み合ってないので穴場的な富山県　混みすぎるのも嫌だけどもっと知ってほしい,宿泊先
2025/04/26,富山県,男性,20代,会社員,1: 300万円未満,カップル,1泊,石川県,1泊,富山市,夕・朝２食付き,,,,,,,自家用車,自家用車,満足,４回目,宿でのんびり過ごす,宿泊施設のウェブサイト,口コミ（友人・恋人）,ある,"福島県, 東京都, 新潟県, 石川県",大町,"10,000円以上20,000円未満","5,000円以上10,000円未満","20,000円以上30,000円未満","10,000円以上20,000円未満","5,000円以上10,000円未満","あさひ舟川「春の四重奏」, 富岩運河環水公園",居酒屋・レストラン（地元）,食べていない,ブリ,ブリ,大いに満足,普通,普通,不満,不満,混んでいた,,,,6,富山県在住,,黒部市,
2025/04/26,愛知県,女性,50代,パート・アルバイト,1: 300万円未満,夫婦,2泊,富山県以外には宿泊しない,2泊,富山市,朝食のみ,,,,,,,"自家用車, 在来線",自家用車,大いに満足,５回目,"地元の美味しいものを食べる, 工場の見学・体験, テーマパーク（遊園地、動物園、水族館など）, その他スポーツ（ゴルフ、テニスなど）, ドライブ・ツーリング","X（旧Twitter）, SNS広告",口コミ（家族）,ある,"新潟県, 石川県, 山梨県, 長野県",金沢市,"40,000円以上50,000円未満","10,000円以上20,000円未満","10,000円以上20,000円未満","5,000円以上10,000円未満","10,000円以上20,000円未満","富山県美術館, 富山市ガラス美術館, 富山城, 富岩運河環水公園, ほたるいかミュージアム",回転寿司店（地元）,回転寿司店（チェーン店）,"ブリ, シロエビ, ホタルイカ, ゲンゲ","甘エビ, ホタルイカ",大いに満足,満足,満足,大いに満足,大いに満足,富山の美味しい魚を食べれた事,商店の夜の閉店時間が早いので繁華街を探して夕食を食べた,ホタルイカ　日本酒,富山富岩運河クルーズ,10,機会があれば行きたい,車を使い片道3.5時間程で 海と山の豊かな自然を満喫し 美味しい魚とお酒が頂ける事に魅力を感じる,上市町,
2025/04/26,富山県,女性,10代,会社員,3: 600〜1000万円,ひとり,日帰り,,,,,,,,,,,自家用車,自家用車,,１０回目以上,地元の美味しいものを食べる,"X（旧Twitter）, 富山県観光公式サイト「とやま観光ナビ」",口コミ（同僚・同級生）,ない,,,"1,000円以上3,000円未満","1,000円以上3,000円未満",使わない,使わない,使わない,"雨晴海岸, 砺波チューリップ公園, 富岩運河環水公園, ほたるいかミュージアム",食べていない,食べていない,"フクラギ（イナダ、ハマチ）, 甘エビ",甘エビ,大いに満足,大いに満足,大いに満足,大いに満足,大いに満足,海鮮が美味しかった,,海鮮丼,,10,富山県在住,いいものいっぱいあるんだからもっと宣伝に力を入れて欲しい,氷見市,
2025/04/26,富山県,女性,50代,パート・アルバイト,3: 600〜1000万円,子供連れ家族（一番下のお子様が小学生～高校生）,日帰り,,,,,,,,,,,自家用車,"自家用車, 在来線・私鉄・路面電車",普通,１０回目以上,地元の美味しいものを食べる,"富山県観光公式サイト「とやま観光ナビ」, 富山県内市町村の観光公式サイト",口コミ（同僚・同級生）,ある,"石川県, 静岡県, 京都府",富士山,"5,000円以上10,000円未満","3,000円以上5,000円未満","10,000円以上20,000円未満","1,000円以上3,000円未満","1,000円以上3,000円未満","雨晴海岸, 国宝 高岡山瑞龍寺, 高岡大仏",回転寿司店（地元）,食べていない,"フクラギ（イナダ、ハマチ）, シロエビ, ホタルイカ","シロエビ, 甘エビ, ホタルイカ",満足,満足,普通,普通,普通,,,氷見牛,氷見牛,8,富山県在住,,氷見市,
2025/04/26,富山県,男性,80歳以上,無職,2: 300〜599万円,大人の家族（18歳以上の子供含む）,1泊,富山県以外には宿泊しない,1泊,氷見市,夕・朝２食付き,,,,,,,県外から訪れていない（富山県在住）,自家用車,,３回目,"宿でのんびり過ごす, 温泉や露天風呂, 地元の美味しいものを食べる",宿泊施設のウェブサイト,"口コミ（友人・恋人）, 口コミ（家族）",ない,,,使わない,"1,000円未満","10,000円以上20,000円未満","1,000円以上3,000円未満",使わない,"雨晴海岸, 番屋街",食べていない,食べていない,"シロエビ, 甘エビ, ホタルイカ",シロエビ,満足,満足,普通,満足,満足,値段が相応,なし,刺身,,5,機会があれば行きたい,,宿泊先
2025/04/26,愛知県,男性,50代,会社員,3: 600〜1000万円,夫婦,2泊,富山県以外には宿泊しない,2泊,黒部市,食事なし（素泊まり）,富山市,朝食のみ,,,,,自家用車,在来線・私鉄・路面電車,,２回目,"地元の美味しいものを食べる, 名所、旧跡、寺社仏閣の観光, 買い物（工芸品・特産品など）, お祭りやイベントへの参加・見物, ドライブ・ツーリング","Instagram, 富山県観光公式サイト「とやま観光ナビ」, 宿泊施設のウェブサイト",富山県観光公式のパンフレット,ない,,,"1,000円以上3,000円未満","30,000円以上40,000円未満","10,000円以上20,000円未満","20,000円以上30,000円未満","5,000円以上10,000円未満","岩瀬エリア, 雨晴海岸, 宇奈月温泉, 黒部峡谷鉄道, 新湊大橋, 富山市ガラス美術館",居酒屋・レストラン（地元）,食べていない,"シロエビ, ホタルイカ, ウマヅラハギ",ホタルイカ,大いに満足,普通,満足,満足,大いに満足,日石寺の千巖渓がすごく良かった。,特に無し,ホタルイカの沖漬け,日石寺,8,来年もまた行きたい,観光客が多過ぎないのがとても良い,上市町,
2025/04/26,愛知県,女性,20代,パート・アルバイト,6: 無回答,大人の家族（18歳以上の子供含む）,1泊,富山県以外には宿泊しない,1泊,滑川市,夕・朝２食付き,,,,,,,自家用車,自家用車,,１０回目以上,"宿でのんびり過ごす, 地元の美味しいものを食べる",知人,口コミ（家族）,ない,,,使わない,"3,000円以上5,000円未満","10,000円以上20,000円未満",使わない,使わない,ほたるいかミュージアム,食べていない,食べていない,"甘エビ, ホタルイカ","甘エビ, ホタルイカ",大いに満足,大いに満足,普通,普通,大いに満足,ご飯が美味しい,,貝,,10,来年もまた行きたい,,宿泊先
2025/04/26,東京都,男性,10代,学生,1: 300万円未満,子供連れ家族（一番下のお子様が小学生～高校生）,1泊,新潟県,1泊,黒部市,夕食のみ,,,,,,,新幹線,"レンタカー, 徒歩",大いに満足,１回目,"宿でのんびり過ごす, 温泉や露天風呂, 地元の美味しいものを食べる, 買い物（工芸品・特産品など）, 趣味を満喫、推し活（好きなアイドル・アニメなどを）応援する, 自己成長のために、新しいこと・初めてのことを体験する","富山県観光公式サイト「とやま観光ナビ」, 富山県内市町村の観光公式サイト, 宿泊施設のウェブサイト",富山県観光公式のパンフレット,ある,新潟県,魚沼,"30,000円以上40,000円未満","10,000円以上20,000円未満","100,000円以上","10,000円以上20,000円未満","5,000円以上10,000円未満","宇奈月温泉, 海王丸パーク, 黒部ダム, ほたるいかミュージアム",専門店,専門店,"ブリ, シロエビ, ウマヅラハギ, ゲンゲ, バイガイ","ブリ, シロエビ",大いに満足,満足,大いに満足,大いに満足,満足,楽しかったから,,シロエビコロッケ,黒部ダム,9,機会があれば行きたい,翡翠集め,黒部市,
2025/04/26,石川県,女性,40代,専業主婦・主夫,1: 300万円未満,子供連れ家族（一番下のお子様が未就学児）,1泊,富山県以外には宿泊しない,1泊,南砺市,夕・朝２食付き,,,,,,,自家用車,自家用車,,２回目,"宿でのんびり過ごす, 地元の美味しいものを食べる",富山県内市町村の観光公式サイト,口コミ（家族）,ない,,,"20,000円以上30,000円未満","5,000円以上10,000円未満","5,000円以上10,000円未満","5,000円以上10,000円未満","3,000円以上5,000円未満",砺波チューリップ公園,食べていない,食べていない,ホタルイカ,ホタルイカ,大いに満足,大いに満足,満足,普通,満足,食事が美味しかった,特になし,山菜,なし,7,来年もまた行きたい,,宿泊先
2025/04/26,東京都,女性,40代,会社員,3: 600〜1000万円,子供連れ家族（一番下のお子様が小学生～高校生）,1泊,富山県以外には宿泊しない,1泊,魚津市,夕・朝２食付き,,,,,,,新幹線,レンタカー,満足,１回目,地元の美味しいものを食べる,富山県内市町村の観光公式サイト,富山県観光公式のパンフレット,ない,,,"20,000円以上30,000円未満","20,000円以上30,000円未満","30,000円以上40,000円未満","10,000円以上20,000円未満","20,000円以上30,000円未満","宇奈月温泉, ほたるいかミュージアム",食べていない,食べていない,"ブリ, ホタルイカ",ホタルイカ,満足,満足,満足,大いに満足,満足,ほたるいかミュージアムや魚津水族館の説明掲示が分かりやすくよかったです。,,ほたるいかのアイスなどが富山に来た感じがして良かったです。,富山湾フェリーの方の説明が楽しい気分にさせてくれました。,10,来年もまた行きたい,ほたるいか海上観光に行けなかったので、ぜひ来年も応募したいです。,宿泊先
2025/04/26,京都府,女性,50代,NGO・NPO法人職員,3: 600〜1000万円,夫婦,1泊,富山県以外には宿泊しない,1泊,富山市,食事なし（素泊まり）,,,,,,,"新幹線, 在来線","自家用車,",,６回目,"テーマパーク（遊園地、動物園、水族館など）, 友人・親戚を訪ねる","YOUTUBE, 富山県内市町村の観光公式サイト, 宿泊予約Webサイト",口コミ（家族）,ない,,,"1,000円未満","5,000円以上10,000円未満","5,000円以上10,000円未満","3,000円以上5,000円未満","1,000円以上3,000円未満","砺波チューリップ公園, 富山城",回転寿司店（チェーン店）,食べていない,"ブリ, フクラギ（イナダ、ハマチ）, シロエビ, 甘エビ","ブリ, シロエビ",大いに満足,満足,満足,満足,満足,食べものが美味しい,電車のチケット購入でおつりがでないこと,極みポテトサラダ,チューリップフェア,9,来年もまた行きたい,モーニングを充実させてほしい,宿泊先
